Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
Cop-Out,1967,NR,NR,Drama/Crime,NR,1h 35m,https://www.rottentomatoes.com/m/cop_out-1967,https://resizing.flixster.com/HOKDkfbwskhg7LCELnu2fBO855o=/206x305/v2/https://flxt.tmsimg.com/assets/p241_p_v13_ab.jpg
Coven of Sisters,2020,83,84,Drama,NR,1h 30m,https://www.rottentomatoes.com/m/coven_of_sisters,https://resizing.flixster.com/zhHs_fy9ekb7au5szOXPbS8w6B8=/206x305/v2/https://resizing.flixster.com/X3TqAVS4AxSm7CKBCgNsaoUcAGw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzE5NzE2NjA0LWVlZmUtNDIwMi1iMjA1LWYyZWY5OTQxYTIyYy5qcGc=
Friends With Benefits,2011,68,65,Romance,R,1h 49m,https://www.rottentomatoes.com/m/friends_with_benefits,https://resizing.flixster.com/s8BnY0xP6GCJwyPvytvwHMwLjt0=/206x305/v2/https://flxt.tmsimg.com/assets/p8405003_p_v13_au.jpg
Insidious: The Last Key,2018,33,50,Horror/Mystery and thriller,PG-13,1h 43m,https://www.rottentomatoes.com/m/insidious_the_last_key,https://resizing.flixster.com/dI2Ao2aOyPNKmNIgc7oPxnMvzA0=/206x305/v2/https://resizing.flixster.com/aNyXI0yiddfY-IkUUUYPib6DOdo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2NjMjY3MzAxLTRjMGQtNGY0OS05MjVlLWViYzYwM2FkNjE1MS53ZWJw
Irul,2021,0,NR,Mystery and thriller,NR,1h 31m,https://www.rottentomatoes.com/m/irul,https://resizing.flixster.com/0LeWXambtQWf7BHSDe3DxK3lEZE=/206x305/v2/https://resizing.flixster.com/mPyMerXyg7L9N2Yo0k2EddnRXFY=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzlhODkzZWQwLTUwMjEtNDdiZi1iZmQ5LTNhZTgxOTA5ODUwYy5qcGc=
Kingsglaive: Final Fantasy XV,2016,12,68,Animation/Action,PG-13,1h 50m,https://www.rottentomatoes.com/m/kingsglaive_final_fantasy_xv_2016,https://resizing.flixster.com/Rq7zJ-xzvWTsAfgipd1yNeNyBUM=/206x305/v2/https://resizing.flixster.com/GWaNMBW6LV6eEmGoW3EmWmX6woM=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVhMWY2N2MyLTc2MDktNGYyZi1iYzhmLWY2MThmZDE4MTI1OS53ZWJw
Legally Blonde 3,2022,NR,NR,Comedy,NR,,https://www.rottentomatoes.com/m/legally_blonde_3,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Leprechaun Returns,2018,50,43,Horror/Comedy,R,1h 32m,https://www.rottentomatoes.com/m/leprechaun_returns,https://resizing.flixster.com/sneULPWR9yVTy22MkVez7A3ZPZE=/206x305/v2/https://resizing.flixster.com/pFoxtoSc4ciR8SVPd10ZrmL-2A8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2YwOTQ4ZmZkLTY0MDEtNDk0MS1iZmY5LTI0OTNhMGY4Zjg0Zi53ZWJw
Dwegons and Leprechauns,2014,NR,50,Kids and family/Animation,PG,1h 37m,https://www.rottentomatoes.com/m/dwegons_and_leprechauns,https://resizing.flixster.com/KWAOyDZZOO7cMhtNW5WU83PQwek=/206x305/v2/https://flxt.tmsimg.com/assets/p10984670_p_v10_ab.jpg
Tersanjung: The Movie,2021,NR,NR,Romance/Drama,NR,1h 54m,https://www.rottentomatoes.com/m/tersanjung_the_movie,https://resizing.flixster.com/7KTJmu-bogLFnMxbOi1a0ld6pH4=/206x305/v2/https://flxt.tmsimg.com/assets/p19695522_p_v13_aa.jpg
