Title,Date_Arriving,Type,Year,Season,Weekly
2012,2021-04-01,Movie,2009,,No
Cop Out,2021-04-01,Movie,2010,,No
Coven of Sisters,2021-04-01,Movie,2021,,No
Friends With Benefits,2021-04-01,Movie,2011,,No
Insidious,2021-04-01,Movie,2010,,No
Irul,2021-04-01,Movie,2021,,No
Kingsglaive: Final Fantasy XV,2021-04-01,Movie,2016,,No
Legally Blonde,2021-04-01,Movie,2001,,No
Leprechaun,2021-04-01,Movie,1993,,No
Multiple Seven Souls in the Skull Castle movies including,2021-04-01,Movie,0,,No
My Fair Lady,2021-04-01,Movie,1964,,No
Tersanjung the Movie,2021-04-01,Movie,2021,,No
The Knight and the Princess,2021-04-01,Movie,2019,,No
The Pianist,2021-04-01,Movie,2002,,No
The Possession,2021-04-01,Movie,2012,,No
The Time Traveler’s Wife,2021-04-01,Movie,2009,,No
Tyler Perry’s Madea’s Big Happy Family,2021-04-01,Movie,2011,,No
White Boy,2021-04-01,Movie,2017,,No
Yes Man,2021-04-01,Movie,2008,,No
Air Strike,2021-04-02,Movie,2018,,No
Concrete Cowboy,2021-04-02,Movie,2021,,No
God Calling,2021-04-02,Movie,2018,,No
Just Say Yes,2021-04-02,Movie,2021,,No
Madame Claude,2021-04-02,Movie,2021,,No
Sky High,2021-04-02,Movie,2021,,No
Escape from Planet Earth,2021-04-03,Movie,2012,,No
The Fisherman’s Diary,2021-04-04,Movie,2020,,No
What Lies Below ,2021-04-04,Movie,2020,,No
Coded Bias,2021-04-05,Movie,2020,,No
The Last Kids on Earth: Happy Apocalypse to You,2021-04-06,Movie,2021,,No
Story of Kale: When Someone’s in Love,2021-04-08,Movie,2020,,No
Have You Ever Seen Fireflies?,2021-04-09,Movie,2021,,No
Night in Paradise,2021-04-09,Movie,2021,,No
Ojukokoro: Greed,2021-04-09,Movie,2016,,No
Thunder Force,2021-04-09,Movie,2021,,No
Two Distant Strangers,2021-04-09,Movie,2021,,No
The Stand In,2021-04-10,Movie,2020,,No
Diana: The Interview that Shook the World,2021-04-11,Movie,2020,,No
New Gods Nezha Reborn,2021-04-12,Movie,2021,,No
Shiva vs Autobots,2021-04-12,Movie,2018,,No
Shiva: Journey to Plunotaria,2021-04-12,Movie,2020,,No
Uppena,2021-04-13,Movie,2021,,No
Dad Stop Embarrassing Me – The Afterparty,2021-04-14,Movie,2021,,No
The Soul,2021-04-14,Movie,2021,,No
Why Did You Kill Me?,2021-04-14,Movie,2021,,No
Dark City Beneath the Beat,2021-04-15,Movie,2020,,No
Ride or Die,2021-04-15,Movie,2021,,No
The Master,2021-04-15,Movie,2012,,No
Ajeeb Daastaans,2021-04-16,Movie,2021,,No
Arlo the Alligator Boy,2021-04-16,Movie,2021,,No
Barbie & Chelsea The Lost Birthday,2021-04-16,Movie,2021,,No
Crimson Peak,2021-04-16,Movie,2015,,No
Doctor Bello,2021-04-16,Movie,2013,,No
Into the Beat,2021-04-16,Movie,2020,,No
Rush,2021-04-16,Movie,2013,,No
Synchronic,2021-04-16,Movie,2019,,No
The Zookeeper’s Wife,2021-04-16,Movie,2017,,No
Chadwick Boseman: Portrait of an Artist,2021-04-17,Movie,2021,,No
Free to Play,2021-04-19,Movie,2014,,No
Miss Sloane,2021-04-19,Movie,2016,,No
Rudra: The Rise of King Pharaoh,2021-04-19,Movie,0,,No
Oloibiri,2021-04-21,Movie,2015,,No
Tell Me When,2021-04-21,Movie,2021,,No
HOMUNCULUS,2021-04-22,Movie,2021,,No
Searching For Sheela,2021-04-22,Movie,2021,,No
Stowaway,2021-04-22,Movie,2021,,No
Heroes: Silence and Rock & Roll,2021-04-23,Movie,2021,,No
Perfume Imaginary Museum “Time Wrap”,2021-04-23,Movie,2021,,No
Ram Prasad Ki Tehrvi,2021-04-23,Movie,2019,,No
Shadow and Bone – The Netflix Afterparty,2021-04-23,Movie,2021,,No
This Lady Called Life,2021-04-23,Movie,2020,,No
Slay,2021-04-26,Movie,0,,No
August: Osage County,2021-04-27,Movie,2013,,No
Battle of Los Angeles,2021-04-27,Movie,2011,,No
Get The Grift,2021-04-28,Movie,2021,,No
Things Heard and Seen,2021-04-29,Movie,2021,,No
Coming from Insanity,2021-04-30,Movie,2019,,No
The Disciple,2021-04-30,Movie,2020,,No
The Mitchells vs. The Machines,2021-04-30,Movie,2021,,No
Magical Andes,2021-04-01,TV,0,Season 2,No
Prank Encounters,2021-04-01,TV,0,Season 2,No
Secrets of Great British Castles,2021-04-01,TV,0,Season 1,No
The Platform,2021-04-01,TV,0,Season 2,No
Worn Stories,2021-04-01,TV,0,Season 1,No
The Serpent,2021-04-02,TV,0,Limited Series,No
Family Reunion,2021-04-05,TV,0,Part 3,No
Dolly Parton: A MusiCares Tribute,2021-04-07,TV,2021,,No
Snabba Cash,2021-04-07,TV,0,Season 1,No
The Big Day,2021-04-07,TV,0,Collection 2,No
The Wedding Coach,2021-04-07,TV,0,Season 1,No
This Is a Robbery: The World’s Biggest Art Heist,2021-04-07,TV,0,Limited Series,No
JoJo’s Bizarre Adventure,2021-04-08,TV,0,Season 3,No
The Way of the Househusband,2021-04-08,TV,0,Season 1,No
Don’t be the First one,2021-04-10,TV,0,Season 1 – New Episodes Weekly,No
Motu Patlu Animation Collection,2021-04-12,TV,0,,No
"Nicky, Ricky, Dicky & Dawn",2021-04-12,TV,0,Seasons 1-4,No
Mighty Express,2021-04-13,TV,0,Season 3,No
My Love: Six Stories of True Love,2021-04-13,TV,0,Limited Series,No
The Baker and the Beauty,2021-04-13,TV,0,Season 1,No
Dad Stop Embarrassing Me,2021-04-14,TV,0,Season 1,No
Law School,2021-04-14,TV,0,Season 1,No
Ricky Zoom,2021-04-14,TV,0,Season 1,No
The Circle,2021-04-14,TV,0,Season 2 – Episodes 1-4,No
Fast and Furious Spy Racers,2021-04-16,TV,0,Season 4,No
Luis Miguel: The Series,2021-04-18,TV,0,Season 2,No
PJ Masks,2021-04-19,TV,0,Season 3,No
Izzy’s Koala World,2021-04-20,TV,0,Season 2,No
Men on a Mission,2021-04-20,TV,0,Season 7,Yes
