Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
Abduction 101,2019,NR,NR,Horror,NR,1h 17m,https://www.rottentomatoes.com/m/abduction_101,https://resizing.flixster.com/y3NKqr-H8g6oxNAIQLwMY9Ov-Q4=/206x305/v2/https://flxt.tmsimg.com/assets/p17085604_v_h9_aa.jpg
Bad Teacher,2011,45,36,Comedy,R,1h 32m,https://www.rottentomatoes.com/m/bad_teacher,https://resizing.flixster.com/hOEv5Qw0rwHzGiyP4-vndClby2c=/206x305/v2/https://flxt.tmsimg.com/assets/p8395421_p_v10_ah.jpg
Black Holes: The Edge of All We Know,2020,100,83,Documentary,NR,1h 39m,https://www.rottentomatoes.com/m/black_holes_the_edge_of_all_we_know,https://resizing.flixster.com/rq3lE3oijZQE1M-oqtLxv8bTjuE=/206x305/v2/https://resizing.flixster.com/V-LXU_vb-lsdMp6U55jR-L2gf2w=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2UzMDM3NDkyLTZlYmQtNDQ2NS04MzRlLWNiMjBhMTlmNzE2Ny5qcGc=
Cradle 2 the Grave,2003,26,52,Mystery & thriller/Action,R,1h 39m,https://www.rottentomatoes.com/m/cradle_2_the_grave,https://resizing.flixster.com/gFUfA7Z2DGBUrdFndyRT9iG0nXQ=/206x305/v2/https://flxt.tmsimg.com/assets/p31463_p_v8_ad.jpg
Fools Rush In,1997,32,64,Comedy/Drama,PG-13,1h 48m,https://www.rottentomatoes.com/m/fools_rush_in,https://resizing.flixster.com/5QtaL8uHjCGujZ4ORWYaqcGJijE=/206x305/v2/https://flxt.tmsimg.com/assets/p19051_p_v10_ah.jpg
Flip That Romance,2019,NR,NR,Romance,TVG,1h 28m,https://www.rottentomatoes.com/m/flip_that_romance,https://resizing.flixster.com/Hf-TTWIwNoQgLNZMgCfCJ52I2U0=/206x305/v2/https://flxt.tmsimg.com/assets/p16552082_p_v13_aa.jpg
I Am Samuel,2020,90,NR,Documentary,NR,1h 9m,https://www.rottentomatoes.com/m/i_am_samuel,https://resizing.flixster.com/UQyxjWDOymXHLAjmH6vpExN22nk=/206x305/v2/https://resizing.flixster.com/6dC86lEnADqvmIpjVM-o9mMVyX0=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2E2MWE3YWViLWE4MmYtNDBkMy04ZmEzLWNiZDRlNGZiYTkwNC5qcGc=
The Girl Who Loved Animals: Kitty Jones and the Fight for Animal Rights,2013,NR,NR,Biography,NR,1h 24m,https://www.rottentomatoes.com/m/the_girl_who_loved_animals_kitty_jones_and_the_fight_for_animal_rights,https://resizing.flixster.com/6DK_bj56DHEgzcBMWuO3DuSTxXY=/206x305/v2/https://flxt.tmsimg.com/assets/p11981072_v_h9_aa.jpg
Ninja Assassins,1985,NR,62,Sports & fitness/Adventure,NR,1h 25m,https://www.rottentomatoes.com/m/ninja_assassins,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Sniper: Legacy,2014,NR,39,Action,R,1h 35m,https://www.rottentomatoes.com/m/sniper_legacy_2014,https://resizing.flixster.com/Fb_L3yhpWVaeg6oSDPCh--csKck=/206x305/v2/https://flxt.tmsimg.com/assets/p10978067_p_v10_aq.jpg
Stand by Me Doraemon,2014,NR,70,Comedy/Adventure,NR,1h 35m,https://www.rottentomatoes.com/m/stand_by_me_doraemon_2014,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Big Lebowski 20th Anniversary Presented By TCM,2018,NR,100,,NR,,https://www.rottentomatoes.com/m/the_big_lebowski_20th_anniversary_presented_by_tcm,https://resizing.flixster.com/2jjyD6nlYMFhNnZj1_5QJFv0unk=/206x305/v2/https://resizing.flixster.com/7956XxuixB4YTD3xJ62RL19ynfQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzdiMGE0YWIxLTFkNDUtNGQ2NS04ZDg3LTZmYjdhYTg5M2Q4MS53ZWJw
The Big Lebowski,1998,83,93,Comedy,R,1h 57m,https://www.rottentomatoes.com/m/the_big_lebowski,https://resizing.flixster.com/W9EhU0R53VjLZXCiuWYG69NBhhk=/206x305/v2/https://flxt.tmsimg.com/assets/p20484_p_v10_ag.jpg
Man's Best Friend,2019,NR,NR,Drama,NR,2h 9m,https://www.rottentomatoes.com/m/mans_best_friend_2019,https://resizing.flixster.com/smu-Ls8uzVMc2ofWO7hDWR7H1xc=/206x305/v2/https://flxt.tmsimg.com/assets/p17387506_p_v13_aa.jpg
The Best Man,1999,NR,77,Comedy/Drama,R,2h,https://www.rottentomatoes.com/m/the_best_man_wedding,https://resizing.flixster.com/Pcx_ufw-bId51AawseNU5iNYs0I=/206x305/v2/https://flxt.tmsimg.com/assets/p24016_p_v10_ab.jpg
Best Man,1986,NR,NR,Comedy/Drama,NR,1h 25m,https://www.rottentomatoes.com/m/the_best_man_2013,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Best Man Down,2012,31,44,Comedy/Drama,PG-13,1h 31m,https://www.rottentomatoes.com/m/lumpy_2012,https://resizing.flixster.com/0r_WcGb7BUzJrMmnOTTC_LCmAfw=/206x305/v2/https://flxt.tmsimg.com/assets/p9497917_p_v8_aa.jpg
The Best Man,1998,57,57,Comedy/Drama,PG,1h 40m,https://www.rottentomatoes.com/m/1084447-best_man,https://resizing.flixster.com/mrqs5oaKFrIObmQc0trIwgw9N4s=/206x305/v2/https://flxt.tmsimg.com/assets/p22754_p_v7_aa.jpg
May the Best Man Win,2009,NR,NR,Comedy,NR,1h 7m,https://www.rottentomatoes.com/m/may-the-best-man-win,https://resizing.flixster.com/Zja8NkETnbtiJS3yxbNfTQu39hI=/206x305/v2/https://flxt.tmsimg.com/assets/p7827374_p_v7_aa.jpg
The Best Man,2006,NR,NR,Mystery & thriller/Drama,NR,2h 24m,https://www.rottentomatoes.com/m/the-best-man2006,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Best Man,1998,NR,100,,NR,,https://www.rottentomatoes.com/m/best_man_1998,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Best Man Holiday,2013,70,83,Comedy/Other,R,2h 2m,https://www.rottentomatoes.com/m/the_best_man_holiday_2013,https://resizing.flixster.com/DesQ-YNMyCxiOu9BmkExE2wiXoU=/206x305/v2/https://flxt.tmsimg.com/assets/p9991476_p_v10_ab.jpg
