Title,Year,Critic_score,Audience_score,Title_Category,Rating,Runtime,URL,Poster_URL
Barbie & Chelsea The Lost Birthday,2021,NR,NR,Animation,NR,1h 3m,,
Battle of Los Angeles,2011,NR,11,Sci fi,NR,1h 30m,https://www.rottentomatoes.com/m/attack_los_angeles,
Chadwick Boseman: Portrait of an Artist,2021,NR,NR,,NR,,,
Dad Stop Embarrassing Me - The Afterparty,2021,NR,NR,Talk Shows,NR,,,
Diana: The Interview that Shook the World,2020,NR,NR,,NR,,,
God Calling,2018,NR,NR,Faith,NR,1h 59m,,
Heroes: Silence and Rock & Roll,2021,NR,NR,Music,NR,1h 34m,,
Ojukokoro: Greed,2016,NR,NR,African,NR,1h 47m,,
Oloibiri,2015,NR,NR,African,NR,1h 26m,,
Perfume Imaginary Museum Time Wrap,2020,NR,NR,Music,NR,0h 53m,,
Ram Prasad Ki Tehrvi,2019,86,50,Drama/Comedy,NR,1h 53m,https://www.rottentomatoes.com/m/ramprasad_ki_tehrvi,
Rudra: The Rise of King Pharaoh,2019,NR,NR,Children & Family Movie,NR,1h 30m,,
Shadow and Bone - The Afterparty,2021,NR,NR,Talk Shows,NR,0h 32m,,
Shiva vs Autobots,2018,NR,NR,Children & Family Movie,NR,1h 19m,,
Shiva: Journey to Plunotaria,2019,NR,NR,Children & Family Movie,NR,1h 20m,,
Slay,2021,NR,NR,Comedy,NR,1h 33m,,
Story of Kale: When Someone''s in Love,2020,NR,NR,Romantic Movies,NR,1h 17m,,
The Fisherman''s Diary,2020,NR,NR,Social Issue Movies,NR,2h 22m,,
The Last Kids on Earth: Happy Apocalypse to You,2021,NR,NR,TV Comedy,NR,0h 27m,,
This Lady Called Life,2020,NR,NR,African,NR,1h 59m,,
Tyler Perry''s Madea's Big Happy Family,2011,38,74,Comedy/Drama,PG-13,1h 46m,https://www.rottentomatoes.com/m/madeas_big_happy_family,
Uppena,2021,NR,NR,Social Issue Movies,NR,2h 24m,,
