,0
0,Coming to Netflix US Weekly in April 2021
1,Men on a Mission (Season 7)
2,Navillera (Season 1) 
3,Sisyphus: The Myth (Season 1) 
4,Vincenzo (Season 1) 
5,What’s Coming to Netflix on April 1st
6,2012 (2009)
7,Cop Out (2010)
8,Coven of Sisters (2021 – English Dub) 
9,Kingsglaive: Final Fantasy XV (2016)
10,Friends With Benefits (2011)
11,Insidious (2010)
12,Irul (2021)
13,Legally Blonde (2001)
14,Leprechaun (1993)
15,Magical Andes (Season 2) 
16,My Fair Lady (1964)
17,Prank Encounters (Season 2) 
18,Secrets of Great British Castles (Season 1)
19,Multiple Seven Souls in the Skull Castle movies including
20,Tersanjung the Movie (2021) 
21,The Knight and the Princess (2019)
22,The Pianist (2002)
23,The Possession (2012)
24,The Platform (Season 2)
25,The Time Traveler’s Wife (2009)
26,Tyler Perry’s Madea’s Big Happy Family (2011)
27,White Boy (2017)
28,Worn Stories (Season 1) 
29,Yes Man (2008)
30,What’s Coming to Netflix on April 2nd
31,Air Strike (2018)
32,Concrete Cowboy (2021) 
33,God Calling (2018)
34,Just Say Yes (2021) 
35,Madame Claude (2021) 
36,Sky High (2021) 
37,The Serpent (Limited Series) 
38,What’s Coming to Netflix on April 3rd
39,Escape from Planet Earth (2012)
40,What’s Coming to Netflix on April 4th
41,The Fisherman’s Diary (2020)
42,What Lies Below (2020) 
43,What’s Coming to Netflix on April 5th
44,Coded Bias (2020)
45,Family Reunion (Part 3) 
46,What’s Coming to Netflix on April 6th
47,The Last Kids on Earth: Happy Apocalypse to You (2021) 
48,What’s Coming to Netflix on April 7th
49,Dolly Parton: A MusiCares Tribute (2021)
50,Snabba Cash (Season 1) 
51,The Big Day (Collection 2) 
52,The Wedding Coach (Season 1) 
53,This Is a Robbery: The World’s Biggest Art Heist (Limited Series) 
54,What’s Coming to Netflix on April 8th
55,JoJo’s Bizarre Adventure (Season 3)
56,Story of Kale: When Someone’s in Love (2020)
57,The Way of the Househusband (Season 1) 
58,What’s Coming to Netflix on April 9th
59,Have You Ever Seen Fireflies? (2021) 
60,Night in Paradise (2021) 
61,Ojukokoro: Greed (2016)
62,Thunder Force (2021) 
63,Two Distant Strangers (2021) 
64,What’s Coming to Netflix on April 10th
65,Don’t be the First one (Season 1 – New Episodes Weekly)
66,The Stand In (2020)
67,What’s Coming to Netflix on April 11th
68,Diana: The Interview that Shook the World (2020)
69,What’s Coming to Netflix on April 12th
70,Motu Patlu Animation Collection
71,New Gods Nezha Reborn (2021) 
72,"Nicky, Ricky, Dicky & Dawn (Seasons 1-4)"
73,Shiva vs Autobots (2018)
74,Shiva: Journey to Plunotaria (2020)
75,What’s Coming to Netflix on April 13th
76,Mighty Express (Season 3) 
77,My Love: Six Stories of True Love (Limited Series) 
78,The Baker and the Beauty (Season 1)
79,Uppena (2021)
80,What’s Coming to Netflix on April 14th
81,Dad Stop Embarrassing Me (Season 1) 
82,Dad Stop Embarrassing Me – The Afterparty (2021)
83,Law School (Season 1) 
84,Ricky Zoom (Season 1)
85,The Circle (Season 2 – Episodes 1-4) 
86,The Soul (2021) 
87,Why Did You Kill Me? (2021) 
88,What’s Coming to Netflix on April 15th
89,Dark City Beneath the Beat (2020)
90,The Master (2012)
91,Ride or Die (2021) 
92,What’s Coming to Netflix on April 16th
93,Ajeeb Daastaans (2021)
94,Arlo the Alligator Boy (2021) 
95,Barbie & Chelsea The Lost Birthday (2021)
96,Crimson Peak (2015)
97,Doctor Bello (2013)
98,Fast and Furious Spy Racers (Season 4) 
99,Into the Beat (2020) 
100,Rush (2013)
101,Synchronic (2019)
102,The Zookeeper’s Wife (2017)
103,What’s Coming to Netflix on April 17th
104,Chadwick Boseman: Portrait of an Artist (2021) 
105,What’s Coming to Netflix on April 18th
106,Luis Miguel: The Series (Season 2) 
107,What’s Coming to Netflix on April 19th
108,Free to Play (2014)
109,Miss Sloane (2016)
110,PJ Masks (Season 3)
111,Rudra: The Rise of King Pharaoh
112,What’s Coming to Netflix on April 20th
113,Izzy’s Koala World (Season 2) 
114,What’s Coming to Netflix on April 21st
115,Oloibiri (2015)
116,Tell Me When (2021) 
117,Zero (Season 1) 
118,What’s Coming to Netflix on April 22nd
119,HOMUNCULUS (2021) 
120,Let’s Fight Ghost (Season 1)
121,Life in Color with David Attenborough (Limited Series) 
122,Searching For Sheela (2021) 
123,Stowaway (2021) 
124,What’s Coming to Netflix on April 23rd
125,Heroes: Silence and Rock & Roll (2021)
126,Perfume Imaginary Museum “Time Wrap” (2021)
127,Ram Prasad Ki Tehrvi (2019)
128,Shadow and Bone (Season 1) 
129,Shadow and Bone – The Netflix Afterparty (2021) 
130,This Lady Called Life (2020)
131,What’s Coming to Netflix on April 26th
132,Slay
133,What’s Coming to Netflix on April 27th
134,August: Osage County (2013)
135,Battle of Los Angeles (2011)
136,Fatma (Season 1) 
137,Go! Go! Cory Carson (Season 4)
138,What’s Coming to Netflix on April 28th
139,Get The Grift (2021) 
140,Headspace Guide to Sleep (Season 1) 
141,Sexify (Season 1) 
142,What’s Coming to Netflix on April 29th
143,Things Heard and Seen (2021) 
144,Yasuke (Season 1) 
145,What’s Coming to Netflix on April 30th
146,Coming from Insanity (2019)
147,Pet Stars (Season 1) 
148,The Disciple (2020) 
149,The Innocent (Limited Series) 
150,The Mitchells vs. The Machines (2021) 
151,The Unremarkable Juanquini (Season 2)
